geno,FD
B0704_B3507,0.625
B3501_B4601,0.625
B3507_B0704,0.625
B4601_B3501,0.625
B1503_B4601,0.62962963
B4601_B1503,0.62962963
B0704_B5802,0.636363636
B3503_B5101,0.636363636
B4001_B5001,0.636363636
B4601_B5301,0.636363636
B5001_B4001,0.636363636
B5101_B3503,0.636363636
B5301_B4601,0.636363636
B5802_B0704,0.636363636
B5703_B5802,0.642857143
B5802_B5703,0.642857143
B1517_B5703,0.644444444
B5703_B1517,0.644444444
B3503_B4601,0.647058824
B4601_B3503,0.647058824
B4201_B5101,0.652173913
B5101_B4201,0.652173913
B5301_B5701,0.652173913
B5701_B5301,0.652173913
B1301_B1501,0.657142857
B1501_B1301,0.657142857
B0704_B4601,0.666666667
B0704_B5301,0.666666667
B0801_B5802,0.666666667
B1302_B3802,0.666666667
B1402_B3801,0.666666667
B1502_B4601,0.666666667
B3501_B4201,0.666666667
B3701_B4001,0.666666667
B3801_B1402,0.666666667
B3802_B1302,0.666666667
B4001_B3701,0.666666667
B4006_B5401,0.666666667
B4006_B5501,0.666666667
B4006_B5502,0.666666667
B4006_B5601,0.666666667
B4201_B3501,0.666666667
B4201_B4601,0.666666667
B4402_B5001,0.666666667
B4403_B5001,0.666666667
B4601_B0704,0.666666667
B4601_B1502,0.666666667
B4601_B4201,0.666666667
B5001_B4402,0.666666667
B5001_B4403,0.666666667
B5101_B5401,0.666666667
B5101_B5501,0.666666667
B5101_B5502,0.666666667
B5101_B5601,0.666666667
B5301_B0704,0.666666667
B5401_B4006,0.666666667
B5401_B5101,0.666666667
B5501_B4006,0.666666667
B5501_B5101,0.666666667
B5502_B4006,0.666666667
B5502_B5101,0.666666667
B5601_B4006,0.666666667
B5601_B5101,0.666666667
B5801_B5802,0.666666667
B5802_B0801,0.666666667
B5802_B5801,0.666666667
B1503_B3801,0.677419355
B3801_B1503,0.677419355
B1301_B5201,0.68
B4601_B5801,0.68
B5201_B1301,0.68
B5801_B4601,0.68
B3701_B4402,0.684210526
B3701_B4403,0.684210526
B4402_B3701,0.684210526
B4403_B3701,0.684210526
B0704_B1510,0.692307692
B0801_B4601,0.692307692
B1402_B5802,0.692307692
B1501_B4601,0.692307692
B1510_B0704,0.692307692
B3501_B5401,0.692307692
B3501_B5501,0.692307692
B3501_B5502,0.692307692
B3501_B5601,0.692307692
B4006_B4402,0.692307692
B4006_B4403,0.692307692
B4402_B4006,0.692307692
B4403_B4006,0.692307692
B4601_B0801,0.692307692
B4601_B1501,0.692307692
B5401_B3501,0.692307692
B5501_B3501,0.692307692
B5502_B3501,0.692307692
B5601_B3501,0.692307692
B5802_B1402,0.692307692
B1301_B1502,0.696969697
B1502_B1301,0.696969697
B3701_B4901,0.7
B3801_B4601,0.7
B3801_B5201,0.7
B4601_B3801,0.7
B4901_B3701,0.7
B5201_B3801,0.7
B5101_B5301,0.703703704
B5301_B5101,0.703703704
B0702_B0801,0.714285714
B0702_B5401,0.714285714
B0702_B5501,0.714285714
B0702_B5502,0.714285714
B0702_B5601,0.714285714
B0801_B0702,0.714285714
B0801_B1510,0.714285714
B0801_B3503,0.714285714
B1301_B3802,0.714285714
B1302_B1510,0.714285714
B1402_B4601,0.714285714
B1510_B0801,0.714285714
B1510_B1302,0.714285714
B1801_B4006,0.714285714
B3501_B5101,0.714285714
B3503_B0801,0.714285714
B3503_B5401,0.714285714
B3503_B5501,0.714285714
B3503_B5502,0.714285714
B3503_B5601,0.714285714
B3802_B1301,0.714285714
B4006_B1801,0.714285714
B4601_B1402,0.714285714
B5101_B3501,0.714285714
B5101_B5201,0.714285714
B5201_B5101,0.714285714
B5401_B0702,0.714285714
B5401_B3503,0.714285714
B5501_B0702,0.714285714
B5501_B3503,0.714285714
B5502_B0702,0.714285714
B5502_B3503,0.714285714
B5601_B0702,0.714285714
B5601_B3503,0.714285714
B0702_B5101,0.727272727
B5101_B0702,0.727272727
B0702_B1402,0.733333333
B0801_B4201,0.733333333
B1402_B0702,0.733333333
B1402_B1510,0.733333333
B1402_B3503,0.733333333
B1501_B3507,0.733333333
B1501_B3801,0.733333333
B1510_B1402,0.733333333
B3503_B1402,0.733333333
B3507_B1501,0.733333333
B3801_B1501,0.733333333
B4201_B0801,0.733333333
B4601_B5802,0.733333333
B5802_B4601,0.733333333
B1503_B3507,0.741935484
B1517_B5802,0.741935484
B3507_B1503,0.741935484
B5301_B5801,0.741935484
B5801_B5301,0.741935484
B5802_B1517,0.741935484
B0702_B5802,0.75
B0704_B1302,0.75
B0704_B3801,0.75
B1302_B0704,0.75
B1402_B3802,0.75
B1402_B4201,0.75
B1510_B5802,0.75
B3503_B5802,0.75
B3801_B0704,0.75
B3802_B1402,0.75
B4201_B1402,0.75
B5701_B5802,0.75
B5802_B0702,0.75
B5802_B1510,0.75
B5802_B3503,0.75
B5802_B5701,0.75
B1502_B5801,0.757575758
B5801_B1502,0.757575758
B1302_B5101,0.76
B5101_B1302,0.76
B0702_B4601,0.764705882
B0704_B4002,0.764705882
B0704_B5101,0.764705882
B0801_B1302,0.764705882
B0801_B3801,0.764705882
B1302_B0801,0.764705882
B1510_B4601,0.764705882
B3507_B5401,0.764705882
B3507_B5501,0.764705882
B3507_B5502,0.764705882
B3507_B5601,0.764705882
B3801_B0801,0.764705882
B4001_B4501,0.764705882
B4002_B0704,0.764705882
B4201_B5802,0.764705882
B4501_B4001,0.764705882
B4601_B0702,0.764705882
